================================================================================
ENCRYPTED FIRMWARE DEEP ANALYSIS
Learning secrets from encrypted code WITHOUT decryption
================================================================================

================================================================================
SECTION 1: FIRMWARE STRUCTURE MAP
================================================================================

Even though the code is encrypted, the FIRMWARE STRUCTURE reveals
what ME does. Different modules have different encryption patterns
because they encrypt at different times with different IVs.

Offset   Size     Entropy  0x00%   0xFF%   Type                 Region
0x176000    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x176400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x176800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x176C00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x177000    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x177400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x177800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x177C00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x178000    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x178400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x178800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x178C00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x179000    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x179400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x179800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x179C00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x17A000    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x17A400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x17A800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x17AC00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x17B000    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x17B400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x17B800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x17BC00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x17C000    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x17C400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x17C800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x17CC00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x17D000    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x17D400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x17D800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x17DC00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x17E000    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x17E400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x17E800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x17EC00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x17F000    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x17F400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x17F800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x17FC00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x180000    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x180400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x180800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x180C00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x181000    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x181400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x181800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x181C00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x182000    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x182400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x182800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x182C00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x183000    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x183400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x183800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x183C00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x184000    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x184400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x184800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x184C00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x185000    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x185400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x185800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x185C00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x186000    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x186400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x186800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x186C00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x187000    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x187400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x187800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x187C00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x188000    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x188400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x188800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x188C00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x189000    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x189400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x189800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x189C00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x18A000    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x18A400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x18A800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x18AC00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x18B000    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x18B400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x18B800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x18BC00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x18C000    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x18C400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x18C800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x18CC00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x18D000    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x18D400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x18D800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x18DC00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x18E000    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x18E400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x18E800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x18EC00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x18F000    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x18F400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x18F800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x18FC00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x190000    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x190400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x190800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x190C00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x191000    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x191400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x191800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x191C00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x192000    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x192400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x192800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x192C00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x193000    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x193400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x193800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x193C00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x194000    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x194400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x194800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x194C00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x195000    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x195400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x195800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x195C00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x196000    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x196400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x196800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x196C00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x197400    1024    2.093   12.3%   72.9%  CODE/DATA             ARC_BOOT
0x197800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x197C00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x198000    1024    7.043   17.5%    0.0%  ENCRYPTED(v1)         ARC_BOOT
0x198800    1024    3.992   50.6%    0.2%  CODE/DATA             ARC_BOOT
0x198C00    1024    3.974   53.5%    0.2%  CODE/DATA             ARC_BOOT
0x19C000    1024    6.776    5.5%    0.6%  COMPRESSED            ARC_BOOT
0x1A0000    1024    6.666    8.6%    1.2%  COMPRESSED            ARC_BOOT
0x1A4000    1024    6.675    6.9%    1.7%  COMPRESSED            ARC_BOOT
0x1A4800    1024    3.843   54.7%    0.9%  CODE/DATA             ARC_BOOT
0x1A5000    1024    3.945   54.7%    0.3%  CODE/DATA             ARC_BOOT
0x1A5800    1024    3.894   54.2%    0.9%  CODE/DATA             ARC_BOOT
0x1A5C00    1024    3.971   53.9%    0.7%  CODE/DATA             ARC_BOOT
0x1A6000    1024    3.995   54.1%    0.1%  CODE/DATA             ARC_BOOT
0x1A6400    1024    3.779   55.3%    0.0%  CODE/DATA             ARC_BOOT
0x1A6800    1024    3.884   54.7%    0.1%  CODE/DATA             ARC_BOOT
0x1A7400    1024    3.795   58.2%    1.3%  CODE/DATA             ARC_BOOT
0x1A7800    1024    3.968   54.4%    0.9%  CODE/DATA             ARC_BOOT
0x1A7C00    1024    3.060   65.0%    0.1%  CODE/DATA             ARC_BOOT
0x1A8000    1024    0.000  100.0%    0.0%  EMPTY/ERASED          ARC_BOOT
0x1A8400    1024    2.575   68.8%    0.0%  CODE/DATA             ARC_BOOT
0x1A8800    1024    3.326   55.0%    1.1%  CODE/DATA             ARC_BOOT
0x1A8C00    1024    1.346   85.1%    0.3%  CODE/DATA             ARC_BOOT
0x1A9000    1024    1.674   70.4%    1.6%  CODE/DATA             ARC_BOOT
0x1A9400    1024    0.000  100.0%    0.0%  EMPTY/ERASED          ARC_BOOT
0x1A9800    1024    0.000  100.0%    0.0%  EMPTY/ERASED          ARC_BOOT
0x1A9C00    1024    0.000  100.0%    0.0%  EMPTY/ERASED          ARC_BOOT
0x1AA000    1024    0.000  100.0%    0.0%  EMPTY/ERASED          ARC_BOOT
0x1AA400    1024    2.575   68.8%    0.0%  CODE/DATA             ARC_BOOT
0x1AA800    1024    3.326   55.0%    1.1%  CODE/DATA             ARC_BOOT
0x1AAC00    1024    1.346   85.1%    0.3%  CODE/DATA             ARC_BOOT
0x1AB000    1024    1.674   70.4%    1.6%  CODE/DATA             ARC_BOOT
0x1AB400    1024    0.000  100.0%    0.0%  EMPTY/ERASED          ARC_BOOT
0x1AB800    1024    0.000  100.0%    0.0%  EMPTY/ERASED          ARC_BOOT
0x1ABC00    1024    0.000  100.0%    0.0%  EMPTY/ERASED          ARC_BOOT
0x1AC000    1024    0.000  100.0%    0.0%  EMPTY/ERASED          ARC_BOOT
0x1AC400    1024    0.823   90.4%    0.0%  EMPTY/ERASED          ARC_BOOT
0x1AC800    1024    1.639   76.2%    8.6%  CODE/DATA             ARC_BOOT
0x1ACC00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x1AD000    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x1AD400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x1AD800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x1ADC00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x1AE000    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x1AE400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x1AE800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x1AEC00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x1B0000    1024    6.776    5.7%    2.4%  COMPRESSED            ARC_BOOT
0x1B3C00    1024    0.562   94.6%    0.0%  EMPTY/ERASED          ARC_BOOT
0x1B4000    1024    0.000  100.0%    0.0%  EMPTY/ERASED          ARC_BOOT
0x1B4400    1024    1.059   89.4%    0.6%  CODE/DATA             ARC_BOOT
0x1B8000    1024    6.315    5.4%    0.6%  COMPRESSED            ARC_BOOT
0x1B9400    1024    2.586   71.8%    0.9%  CODE/DATA             ARC_BOOT
0x1B9C00    1024    2.043   61.9%    2.7%  CODE/DATA             ARC_BOOT
0x1BA000    1024    0.000  100.0%    0.0%  EMPTY/ERASED          ARC_BOOT
0x1BA400    1024    1.054   88.7%    0.0%  CODE/DATA             ARC_BOOT
0x1BB000    1024    2.524   69.8%    6.1%  CODE/DATA             ARC_BOOT
0x1BC000    1024    6.431    6.3%    0.2%  COMPRESSED            ARC_BOOT
0x1C0000    1024    2.845   66.4%    0.0%  CODE/DATA             ARC_BOOT
0x1C0400    1024    3.550   49.6%   14.9%  CODE/DATA             ARC_BOOT
0x1C0800    1024    1.530   82.9%    4.7%  CODE/DATA             ARC_BOOT
0x1C0C00    1024    0.000  100.0%    0.0%  EMPTY/ERASED          ARC_BOOT
0x1C1000    1024    3.255   59.1%    8.6%  CODE/DATA             ARC_BOOT
0x1C1C00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x1C2000    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x1C2400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x1C2800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x1C2C00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x1C3000    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x1C3400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x1C3800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x1C3C00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x1C4000    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x1C4400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x1C4800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x1C4C00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          ARC_BOOT
0x1C5800    1024    3.148   27.3%   44.9%  CODE/DATA             ARC_BOOT
0x1C5C00    1024    3.018   20.5%   50.8%  CODE/DATA             ARC_BOOT
0x1C6000    1024    1.035    6.2%   85.9%  CODE/DATA             ARC_BOOT
0x1C6400    1024    0.233    0.9%   97.7%  EMPTY/ERASED          ARC_BOOT
0x1C6C00    1024    3.738   55.4%    0.3%  CODE/DATA             ARC_BOOT
0x1C8000    1024    5.599    2.5%    0.0%  MIXED                 ARC_BOOT
0x1CC000    1024    6.118    3.2%    1.5%  COMPRESSED            MID
0x1CE800    1024    3.218   62.9%    0.0%  CODE/DATA             MID
0x1CEC00    1024    1.522   84.1%    1.5%  CODE/DATA             MID
0x1CF000    1024    1.432   85.6%    0.5%  CODE/DATA             MID
0x1D0000    1024    6.849    6.2%    2.5%  COMPRESSED            MID
0x1D4000    1024    6.740    5.6%    0.9%  COMPRESSED            MID
0x1D8000    1024    6.346    9.4%    1.0%  COMPRESSED            MID
0x1D8800    1024    2.623   70.9%    0.4%  CODE/DATA             MID
0x1D8C00    1024    0.000  100.0%    0.0%  EMPTY/ERASED          MID
0x1D9000    1024    0.000  100.0%    0.0%  EMPTY/ERASED          MID
0x1DC000    1024    6.237   10.6%    0.2%  COMPRESSED            MID
0x1DD800    1024    2.729    7.1%   48.9%  CODE/DATA             MID
0x1E0000    1024    6.254    6.7%    0.1%  COMPRESSED            MID
0x1E4000    1024    6.495   10.2%    0.7%  COMPRESSED            MID
0x1E8000    1024    6.531    6.7%    0.9%  COMPRESSED            MID
0x1EC000    1024    6.507    5.4%    0.3%  COMPRESSED            MID
0x1F0000    1024    6.573    6.8%    0.5%  COMPRESSED            MID
0x1F4000    1024    6.274    5.2%    0.0%  COMPRESSED            MID
0x1F8000    1024    6.521    8.1%    0.2%  COMPRESSED            MID
0x1FC000    1024    6.091    5.2%    0.0%  COMPRESSED            MID
0x200000    1024    3.571    2.0%    0.7%  CODE/DATA             MID
0x204000    1024    6.476    6.2%    0.3%  COMPRESSED            MID
0x204C00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          MID
0x205000    1024    0.000    0.0%  100.0%  EMPTY/ERASED          MID
0x205400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          MID
0x205800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          MID
0x205C00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          MID
0x206000    1024    0.000    0.0%  100.0%  EMPTY/ERASED          MID
0x206400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          MID
0x206800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          MID
0x206C00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          MID
0x207000    1024    0.000    0.0%  100.0%  EMPTY/ERASED          MID
0x207400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          MID
0x207800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          MID
0x207C00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          MID
0x208000    1024    0.000    0.0%  100.0%  EMPTY/ERASED          MID
0x208400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          MID
0x208800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          MID
0x208C00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          MID
0x209000    1024    0.000    0.0%  100.0%  EMPTY/ERASED          MID
0x209400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          MID
0x209800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          MID
0x209C00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          MID
0x20A000    1024    0.000    0.0%  100.0%  EMPTY/ERASED          MID
0x20A400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          MID
0x20A800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          MID
0x20AC00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          MID
0x20B000    1024    0.000    0.0%  100.0%  EMPTY/ERASED          MID
0x20B400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          MID
0x20B800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          MID
0x20BC00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          MID
0x20C000    1024    0.000    0.0%  100.0%  EMPTY/ERASED          MID
0x20C400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          MID
0x20C800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          MID
0x20CC00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          MID
0x20D000    1024    0.000    0.0%  100.0%  EMPTY/ERASED          MID
0x20D400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          MID
0x20D800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          MID
0x20DC00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          MID
0x20E000    1024    0.000    0.0%  100.0%  EMPTY/ERASED          MID
0x20E400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          MID
0x20E800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          MID
0x20EC00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          MID
0x20F000    1024    0.000    0.0%  100.0%  EMPTY/ERASED          MID
0x20F400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          MID
0x20F800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          MID
0x20FC00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          MID
0x210000    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x210400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x210800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x210C00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x211800    1024    3.244   51.2%    0.8%  CODE/DATA             CERTS
0x211C00    1024    3.520   45.8%    0.2%  CODE/DATA             CERTS
0x212000    1024    3.733   42.7%    0.3%  CODE/DATA             CERTS
0x212400    1024    3.779   43.2%    0.7%  CODE/DATA             CERTS
0x212C00    1024    0.521    0.2%   95.0%  EMPTY/ERASED          CERTS
0x213000    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x213400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x213800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x213C00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x214000    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x214400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x214800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x214C00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x215000    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x215400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x215800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x215C00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x216000    1024    1.108   88.4%    0.5%  CODE/DATA             CERTS
0x216400    1024    0.344    2.5%   95.8%  EMPTY/ERASED          CERTS
0x216800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x216C00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x218000    1024    7.816    0.1%    0.4%  ENCRYPTED(v2)         CERTS
0x218C00    1024    3.005   70.5%    0.1%  CODE/DATA             CERTS
0x219000    1024    0.000  100.0%    0.0%  EMPTY/ERASED          CERTS
0x219400    1024    0.000  100.0%    0.0%  EMPTY/ERASED          CERTS
0x219800    1024    0.000  100.0%    0.0%  EMPTY/ERASED          CERTS
0x219C00    1024    0.000  100.0%    0.0%  EMPTY/ERASED          CERTS
0x21A000    1024    0.000  100.0%    0.0%  EMPTY/ERASED          CERTS
0x21A400    1024    0.000  100.0%    0.0%  EMPTY/ERASED          CERTS
0x21A800    1024    0.000  100.0%    0.0%  EMPTY/ERASED          CERTS
0x21AC00    1024    0.000  100.0%    0.0%  EMPTY/ERASED          CERTS
0x21B400    1024    2.413   40.7%   43.3%  CODE/DATA             CERTS
0x21B800    1024    3.971   59.6%    0.2%  CODE/DATA             CERTS
0x21C000    1024    7.193   14.7%    0.3%  ENCRYPTED(v1)         CERTS
0x220000    1024    7.779    2.2%    0.3%  ENCRYPTED(v2)         CERTS
0x221000    1024    0.182    0.7%   98.2%  EMPTY/ERASED          CERTS
0x221400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x221800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x221C00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x222000    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x222400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x222800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x222C00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x224000    1024    7.398   10.6%    0.3%  ENCRYPTED(v1)         CERTS
0x228000    1024    6.395   28.4%    0.2%  COMPRESSED            CERTS
0x229400    1024    3.872   50.5%    0.1%  CODE/DATA             CERTS
0x229C00    1024    3.067   62.1%    0.0%  CODE/DATA             CERTS
0x22AC00    1024    3.884   52.0%    1.3%  CODE/DATA             CERTS
0x22C000    1024    7.556    8.4%    0.5%  ENCRYPTED(v2)         CERTS
0x22F000    1024    0.182    0.7%   98.2%  EMPTY/ERASED          CERTS
0x22F400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x22F800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x22FC00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x230000    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x230400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
